epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2419.81,0.77233,0.47911,0.86284,0.93358,0.94808,0.98099,0.79309,0.74632,0.50105,0.88524,0.00137771,0.00137771,0.00137771
112,2441.48,0.76262,0.48441,0.863,0.95218,0.94385,0.9837,0.79589,0.76148,0.5003,0.88371,0.00137206,0.00137206,0.00137206
113,2463.2,0.78171,0.48717,0.86711,0.95745,0.93905,0.98325,0.79339,0.7446,0.50037,0.87805,0.0013664,0.0013664,0.0013664
114,2484.88,0.76205,0.46969,0.86429,0.95779,0.94131,0.98475,0.79325,0.75286,0.49419,0.88452,0.00136074,0.00136074,0.00136074
115,2506.57,0.76872,0.47239,0.86514,0.95134,0.93002,0.979,0.78384,0.75317,0.51575,0.87563,0.00135509,0.00135509,0.00135509
116,2528.26,0.75279,0.47831,0.85808,0.9385,0.93454,0.98072,0.78652,0.75398,0.50924,0.88887,0.00134943,0.00134943,0.00134943
117,2549.96,0.77377,0.48089,0.86789,0.97083,0.93679,0.9859,0.79608,0.74937,0.48276,0.87816,0.00134377,0.00134377,0.00134377
118,2571.63,0.7567,0.46683,0.87585,0.94361,0.95485,0.98619,0.79768,0.77115,0.48348,0.88192,0.00133811,0.00133811,0.00133811
119,2593.29,0.78686,0.49067,0.86946,0.92481,0.97065,0.9849,0.79451,0.75363,0.47626,0.87796,0.00133246,0.00133246,0.00133246
120,2614.97,0.76304,0.47886,0.86877,0.93722,0.9526,0.98222,0.80199,0.74029,0.4754,0.87995,0.0013268,0.0013268,0.0013268
121,2636.68,0.75738,0.47306,0.86545,0.95247,0.95001,0.98485,0.79299,0.7803,0.49895,0.88195,0.00132114,0.00132114,0.00132114
122,2658.37,0.75061,0.48034,0.87108,0.9265,0.95485,0.98197,0.79068,0.75319,0.49693,0.88733,0.00131549,0.00131549,0.00131549
123,2680.07,0.77063,0.48088,0.86236,0.93416,0.95937,0.9848,0.78804,0.74354,0.49515,0.88748,0.00130983,0.00130983,0.00130983
124,2701.79,0.74375,0.45907,0.85953,0.95019,0.94131,0.97941,0.7768,0.78859,0.50672,0.88948,0.00130417,0.00130417,0.00130417
125,2723.46,0.75671,0.47752,0.85671,0.93485,0.93939,0.98153,0.79156,0.74579,0.52003,0.87871,0.00129851,0.00129851,0.00129851
126,2745.14,0.74302,0.46861,0.86291,0.95015,0.95034,0.98709,0.7971,0.76014,0.463,0.87971,0.00129286,0.00129286,0.00129286
127,2766.81,0.75665,0.47221,0.87134,0.94784,0.96163,0.98628,0.80208,0.73785,0.47279,0.88981,0.0012872,0.0012872,0.0012872
128,2788.51,0.7471,0.46748,0.86721,0.95645,0.94198,0.98562,0.79578,0.7279,0.48292,0.88287,0.00128154,0.00128154,0.00128154
129,2810.19,0.7466,0.45712,0.86146,0.95722,0.96163,0.9867,0.8068,0.72695,0.45261,0.88329,0.00127589,0.00127589,0.00127589
130,2831.9,0.75052,0.46397,0.86184,0.95268,0.95439,0.98546,0.80066,0.7364,0.46075,0.88769,0.00127023,0.00127023,0.00127023
131,2853.63,0.72823,0.45426,0.86028,0.96754,0.94211,0.98764,0.80185,0.74659,0.48622,0.88695,0.00126457,0.00126457,0.00126457
