epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2561.12,0.75639,0.44155,0.8765,0.95072,0.95804,0.98226,0.79121,0.77334,0.44843,0.89003,0.00146823,0.00146823,0.00146823
96,2587.9,0.76959,0.4501,0.86907,0.96261,0.94808,0.98482,0.78929,0.77328,0.43049,0.88531,0.00146257,0.00146257,0.00146257
97,2614.7,0.75072,0.42796,0.86681,0.95622,0.96614,0.98806,0.79245,0.76786,0.43461,0.89481,0.00145691,0.00145691,0.00145691
98,2641.56,0.73633,0.42835,0.87851,0.93651,0.96568,0.98391,0.80513,0.72385,0.42399,0.88287,0.00145126,0.00145126,0.00145126
99,2668.96,0.75552,0.42619,0.87256,0.95769,0.93454,0.98275,0.78253,0.75532,0.43936,0.88969,0.0014456,0.0014456,0.0014456
100,2695.8,0.77379,0.44727,0.87405,0.94468,0.96366,0.98631,0.79008,0.75349,0.44135,0.88961,0.00143994,0.00143994,0.00143994
101,2722.63,0.74867,0.43798,0.87814,0.93849,0.96437,0.9817,0.79055,0.74353,0.44404,0.87993,0.00143429,0.00143429,0.00143429
102,2749.43,0.76374,0.44656,0.87679,0.96154,0.95943,0.98499,0.79214,0.75275,0.44106,0.88649,0.00142863,0.00142863,0.00142863
103,2776.24,0.77028,0.44604,0.88003,0.94643,0.96614,0.98509,0.80333,0.74805,0.44408,0.87983,0.00142297,0.00142297,0.00142297
104,2803.05,0.77175,0.44226,0.87942,0.93778,0.95485,0.98032,0.79552,0.74796,0.4316,0.88387,0.00141731,0.00141731,0.00141731
105,2829.63,0.75,0.42732,0.87338,0.96523,0.93986,0.98289,0.79185,0.72504,0.42129,0.88077,0.00141166,0.00141166,0.00141166
106,2856.43,0.75169,0.42955,0.8713,0.94944,0.95485,0.98225,0.79105,0.75257,0.43813,0.89038,0.001406,0.001406,0.001406
107,2883.23,0.76971,0.44311,0.88002,0.95295,0.96004,0.98534,0.79714,0.74371,0.41802,0.87907,0.00140034,0.00140034,0.00140034
108,2910.03,0.77021,0.43206,0.87718,0.96001,0.97536,0.98739,0.80162,0.7548,0.42564,0.89267,0.00139469,0.00139469,0.00139469
109,2936.87,0.7599,0.43055,0.87582,0.96009,0.97743,0.98481,0.80389,0.73006,0.41059,0.88255,0.00138903,0.00138903,0.00138903
110,2963.51,0.74566,0.42331,0.85951,0.95155,0.97527,0.986,0.80019,0.74104,0.42458,0.88086,0.00138337,0.00138337,0.00138337
111,2990.05,0.73841,0.42256,0.86939,0.9664,0.96163,0.98585,0.80311,0.74146,0.42119,0.88173,0.00137771,0.00137771,0.00137771
112,3016.84,0.7419,0.42296,0.86768,0.95732,0.9621,0.98544,0.80259,0.75416,0.4354,0.87966,0.00137206,0.00137206,0.00137206
113,3044.25,0.74533,0.42206,0.86348,0.94923,0.97071,0.98349,0.81664,0.70595,0.40264,0.87754,0.0013664,0.0013664,0.0013664
114,3071.07,0.72141,0.41547,0.86457,0.9488,0.96221,0.98418,0.80106,0.74146,0.42821,0.87845,0.00136074,0.00136074,0.00136074
115,3097.88,0.74604,0.43253,0.8701,0.95548,0.96388,0.98317,0.80295,0.72395,0.41464,0.87553,0.00135509,0.00135509,0.00135509
116,3124.44,0.72873,0.41876,0.85946,0.93746,0.97065,0.98322,0.79369,0.72102,0.42559,0.87565,0.00134943,0.00134943,0.00134943
117,3151.01,0.74072,0.42282,0.8679,0.96499,0.95711,0.98537,0.78842,0.72414,0.43377,0.87571,0.00134377,0.00134377,0.00134377
118,3177.79,0.72735,0.41337,0.86847,0.95047,0.9684,0.98588,0.80298,0.7528,0.41566,0.88436,0.00133811,0.00133811,0.00133811
119,3204.62,0.75932,0.42104,0.86719,0.95323,0.96605,0.98557,0.80234,0.70838,0.4049,0.87493,0.00133246,0.00133246,0.00133246
120,3231.42,0.73892,0.41029,0.86645,0.95531,0.96505,0.98292,0.80133,0.71406,0.41652,0.87745,0.0013268,0.0013268,0.0013268
121,3258.24,0.72515,0.4129,0.86505,0.96747,0.94357,0.98385,0.80508,0.73413,0.41942,0.87389,0.00132114,0.00132114,0.00132114
122,3285.04,0.7341,0.42024,0.87001,0.95366,0.95485,0.9814,0.79802,0.75297,0.43206,0.88868,0.00131549,0.00131549,0.00131549
123,3311.87,0.74458,0.43416,0.87114,0.95942,0.95937,0.98501,0.79719,0.74789,0.42616,0.88447,0.00130983,0.00130983,0.00130983
124,3338.68,0.71445,0.4093,0.87478,0.9392,0.9764,0.98667,0.81313,0.7087,0.40583,0.87844,0.00130417,0.00130417,0.00130417
125,3365.56,0.74303,0.43962,0.85684,0.968,0.93228,0.98034,0.77896,0.77419,0.44243,0.88277,0.00129851,0.00129851,0.00129851
126,3392.34,0.72605,0.4135,0.86422,0.93234,0.9684,0.98315,0.80642,0.72789,0.42025,0.87041,0.00129286,0.00129286,0.00129286
127,3419.69,0.71209,0.41021,0.858,0.97272,0.9659,0.98638,0.80357,0.71556,0.40678,0.88137,0.0012872,0.0012872,0.0012872
128,3446.5,0.71988,0.40636,0.85537,0.93922,0.96614,0.98501,0.80677,0.71529,0.40874,0.87191,0.00128154,0.00128154,0.00128154
129,3473.32,0.7158,0.41336,0.86636,0.95935,0.94582,0.98451,0.80388,0.73545,0.42347,0.88496,0.00127589,0.00127589,0.00127589
130,3500.15,0.72465,0.41496,0.86391,0.95536,0.95485,0.98592,0.80586,0.71359,0.40366,0.86961,0.00127023,0.00127023,0.00127023
131,3526.98,0.71569,0.40227,0.86009,0.96184,0.96163,0.98694,0.81618,0.71697,0.40149,0.87008,0.00126457,0.00126457,0.00126457
132,3553.77,0.70301,0.40129,0.85841,0.95071,0.95792,0.98479,0.81341,0.6875,0.39819,0.87054,0.00125891,0.00125891,0.00125891
133,3580.55,0.7193,0.4025,0.8628,0.94641,0.95676,0.98565,0.80469,0.72774,0.39355,0.87093,0.00125326,0.00125326,0.00125326
134,3607.4,0.72668,0.40486,0.86075,0.94548,0.97517,0.98385,0.80907,0.70493,0.40986,0.87316,0.0012476,0.0012476,0.0012476
135,3634.23,0.72865,0.41125,0.85164,0.95038,0.95034,0.98191,0.8078,0.69696,0.40036,0.87254,0.00124194,0.00124194,0.00124194
136,3661.03,0.69845,0.39987,0.85136,0.9665,0.97693,0.98859,0.81541,0.7131,0.39567,0.86909,0.00123629,0.00123629,0.00123629
137,3687.89,0.72188,0.41342,0.85969,0.95322,0.96589,0.98528,0.8116,0.72072,0.40836,0.86976,0.00123063,0.00123063,0.00123063
138,3714.66,0.71905,0.39457,0.85865,0.96371,0.97065,0.98693,0.81274,0.72037,0.39448,0.86845,0.00122497,0.00122497,0.00122497
139,3741.47,0.70803,0.40075,0.8524,0.96082,0.9526,0.98558,0.80977,0.72148,0.40428,0.86976,0.00121931,0.00121931,0.00121931
140,3768.29,0.71671,0.40216,0.85814,0.95013,0.9462,0.98112,0.80666,0.71749,0.4085,0.87007,0.00121366,0.00121366,0.00121366
141,3795.65,0.73497,0.40945,0.86095,0.94341,0.95937,0.98185,0.80286,0.74001,0.41125,0.87,0.001208,0.001208,0.001208
142,3822.49,0.71621,0.40065,0.85178,0.95575,0.97501,0.9869,0.8102,0.69849,0.38224,0.86476,0.00120234,0.00120234,0.00120234
143,3849.31,0.69028,0.39097,0.85668,0.97657,0.94097,0.98546,0.81472,0.70461,0.39822,0.88023,0.00119669,0.00119669,0.00119669
144,3876.13,0.70445,0.39799,0.8553,0.95349,0.97183,0.98555,0.81579,0.69124,0.38959,0.86246,0.00119103,0.00119103,0.00119103
145,3902.95,0.71088,0.39681,0.86238,0.93877,0.96898,0.9881,0.81386,0.70598,0.39807,0.86567,0.00118537,0.00118537,0.00118537
146,3929.77,0.71235,0.39926,0.85056,0.96857,0.94808,0.98603,0.81265,0.70345,0.40984,0.86708,0.00117971,0.00117971,0.00117971
147,3956.6,0.69635,0.39686,0.85298,0.96371,0.95909,0.98684,0.80786,0.71635,0.39307,0.86713,0.00117406,0.00117406,0.00117406
148,3983.39,0.72237,0.40353,0.86149,0.95924,0.93679,0.98141,0.79533,0.72586,0.43808,0.86717,0.0011684,0.0011684,0.0011684
149,4010.26,0.73091,0.39535,0.86218,0.96188,0.9684,0.98696,0.82296,0.6906,0.37978,0.86191,0.00116274,0.00116274,0.00116274
150,4037.04,0.69703,0.38918,0.84814,0.96579,0.95584,0.98445,0.81683,0.70966,0.38465,0.87288,0.00115709,0.00115709,0.00115709
151,4063.86,0.69478,0.39108,0.85161,0.96438,0.96163,0.98447,0.82097,0.68763,0.3771,0.86392,0.00115143,0.00115143,0.00115143
152,4090.7,0.69429,0.3873,0.85329,0.95371,0.97666,0.98634,0.82318,0.69949,0.3915,0.862,0.00114577,0.00114577,0.00114577
153,4117.54,0.70082,0.40249,0.85511,0.97168,0.95937,0.98526,0.81926,0.70411,0.39468,0.86152,0.00114011,0.00114011,0.00114011
154,4144.36,0.69449,0.38911,0.85438,0.95971,0.95711,0.98513,0.82129,0.71084,0.39104,0.86702,0.00113446,0.00113446,0.00113446
155,4171.74,0.69469,0.38451,0.85523,0.94304,0.97173,0.98462,0.82051,0.68714,0.38696,0.86143,0.0011288,0.0011288,0.0011288
156,4198.58,0.71507,0.39021,0.85882,0.96828,0.9684,0.98675,0.81985,0.71994,0.39828,0.86723,0.00112314,0.00112314,0.00112314
157,4225.41,0.68861,0.38904,0.84439,0.9639,0.9644,0.98585,0.82345,0.69433,0.39119,0.86437,0.00111749,0.00111749,0.00111749
158,4252.25,0.68055,0.37852,0.8522,0.9631,0.96614,0.9867,0.82168,0.6934,0.38861,0.86449,0.00111183,0.00111183,0.00111183
159,4279.06,0.69511,0.38767,0.85138,0.95712,0.95727,0.9835,0.81579,0.69173,0.40021,0.86018,0.00110617,0.00110617,0.00110617
160,4305.87,0.67506,0.39583,0.85355,0.96342,0.95711,0.98547,0.80804,0.72175,0.38925,0.86022,0.00110051,0.00110051,0.00110051
161,4332.7,0.68735,0.38731,0.84498,0.96544,0.97065,0.98422,0.817,0.70168,0.38966,0.86237,0.00109486,0.00109486,0.00109486
162,4359.51,0.69178,0.38483,0.85303,0.97447,0.94787,0.98584,0.81861,0.69451,0.38889,0.86642,0.0010892,0.0010892,0.0010892
163,4386.32,0.68478,0.38523,0.85446,0.96825,0.96377,0.98624,0.81934,0.69809,0.39176,0.86254,0.00108354,0.00108354,0.00108354
164,4413.08,0.69389,0.38858,0.85047,0.96154,0.95952,0.98646,0.81443,0.69433,0.38577,0.86743,0.00107789,0.00107789,0.00107789
165,4439.87,0.68099,0.38721,0.84251,0.9658,0.95622,0.98439,0.824,0.68787,0.3737,0.86238,0.00107223,0.00107223,0.00107223
166,4466.71,0.68033,0.3767,0.85333,0.96627,0.96996,0.98515,0.82093,0.70866,0.38531,0.86694,0.00106657,0.00106657,0.00106657
167,4493.54,0.67392,0.38119,0.84421,0.9634,0.94808,0.98493,0.81679,0.68947,0.38396,0.86385,0.00106091,0.00106091,0.00106091
168,4520.36,0.69307,0.39112,0.85497,0.94923,0.97061,0.98514,0.8155,0.71452,0.37889,0.86945,0.00105526,0.00105526,0.00105526
169,4547.71,0.66136,0.37629,0.85052,0.97071,0.97244,0.98773,0.82387,0.70604,0.39114,0.8673,0.0010496,0.0010496,0.0010496
